type,content
normal,ストップウォッチで、ぴったり20秒を出す
normal,十二支を全て発見
normal,頭文字がa-zのものを全て発見
normal,ドレミの歌に出てくる定番のものを全て発見
normal,曜日の漢字を全て発見
normal,ヒントを見ずにクリア
normal,周遊謎で出てきた答えを発見
normal,海を撮影
normal,7文字以上の回文を発見
normal,1枚謎を作って公開
normal,東京都以外の都道府県名を3つ発見
normal,別のLINE謎クリア
normal,万歩計1万歩達成
normal,アナグラムが成立する3文字以上のものを同時に写真に収める
normal,人数分の異なる動物(イラスト可)を発見
normal,時間ぴったり写真
normal,写真の中の数字を足して合計10を作る
normal,観光地にあるパネルで集合写真
normal,300m以上の建物を入れて集合写真
normal,全員で写真でしりとり10以上
normal,全ての路線に乗車
normal,「謎」の文字を発見
normal,今日の日付と同じ数字を見つける
normal,撮った写真で謎制作
normal,「喜、怒、哀、楽」を表現できるものを1つずつ発見
normal,街中の物を1つ選び「これが今回の黒幕だ」と言える理由を3つ考える
normal,店名を3つつなげて意味が通る一文を作る
normal,「RPGの回復ポイント」っぽい場所で写真撮影
normal,バナナを食べる🍌
normal,外国の人と一緒に写真撮影
normal,「しあわせ」を見つける
normal,アニメの聖地でアニメと同じポーズで写真撮影
emergency,全員で「今から世界を救いに行くチーム」のポーズを決めて写真撮影
emergency,早解き勝負をし、負けた方は、次の目的地まで謎解き怪人のモノマネをする
emergency,コンビニで1000円分買ってみんなで食べる
emergency,好きな曲発表ドラゴンになって、好きな曲を発表する
emergency,目的地周辺の有名な場所で記念撮影（男気の人がデコる）
emergency,ここのさんが大喜利でメンバーを笑わせる
emergency,次の目的地で書き込み禁止
emergency,目的地までしりとりで会話
emergency,目的地まで一列になって移動
emergency,1駅分歩く
emergency,公園の遊具ではしゃいで写真撮影
emergency,目的地まで語尾を「ござる」にして会話
emergency,目的地までに「丸、三角、四角、星」を全部発見
emergency,目的地まで王様を決め、敬意を持って接する
emergency,【ジャンケンで勝った人が考える】
emergency,10分以内にクリア（https://x.gd/vjsyX）
emergency,目的地までスキップで移動
emergency,目的地までに、1人がじゃんけんで全員に連勝
emergency,2人でスワンボード
emergency,次の目的地には行けない